id_trim,Make,Model,Serie,Trim,Body type,The length of the car [mm],The width of the car [mm],The height of the car [mm],Wheelbase [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Potencia [cm3],Engine power [bhp],With turnover [min-1],Torque [Nm],Engine type,Arrangement of cylinders,Number of cylinders,Compression ratio,Fuel,Pressurization,Engine power at rpm [min-1],Torque at rpm [min-1],The volume of the engine at rpm [min-1],If the rpm with rpm [min-1],Engine model,Environmental standard,The number of valves per cylinder,Number of gear (mechanical gearbox),Drive wheels,Number of gears (automatic transmission),Maximum speed [km/h],Fuel consumption mixed cycle [l/100 km],Acceleration to 100 km/h [c],Fuel tank capacity [litre],Acceleration time to 60 km/h [c],Payload [kg],Number of places,Length of cargo area (platform) [mm],Width the cargo compartment (platform) [mm],The height of the cargo compartment (sides of the platform) [mm],The volume of the cargo compartment [m3],"Rims, the dimension",Tyre dimension,Total weight with trailer [kg],Curb vehicle weight [kg],Gross vehicle weight [kg],Servo,Diam`etre de braquage [m],Type steering,Type rear suspension,Type front suspension,Front brake,Rear brake
74412,Mercedes-Benz,Vario,Vario Van,814 D,Delivery vans,6330,2206,2700,3700,,,,4249,136,1200,520,,inline,4,,Diesel fuel,With intercooling,2200,1200,,,,EURO III,3,6,,,,,,70,,3900,3,,,,,,,,,6990,,,,,,Disc,Disc
74413,Mercedes-Benz,Vario,Vario Van,814 DA,Delivery vans,6330,2180,2775,3700,,,,4249,136,1200,520,,inline,4,,Diesel fuel,With intercooling,2200,1200,,,,EURO III,3,,,,,,,70,,,3,,,,,,,,,6990,,,,,,Disc,Disc
74414,Mercedes-Benz,Vario,Vario Van,815 D,Delivery vans,7210,2206,2850,4250,,,,4249,150,1200,580,Disel,inline,4,,Diesel fuel,turbine,2200,1200,,,,,3,6,,,,,,70,,3900,3,,,,,,,,,6990,,,,,,Disc,Disc
74415,Mercedes-Benz,Vario,Vario Van,815 DA,Delivery vans,6330,2180,2775,3700,,,,4249,136,1200,520,,inline,4,,Diesel fuel,With intercooling,2200,1200,,,,EURO III,3,,,,,,,70,,,3,,,,,,,,,6990,,,,,,,
74416,Mercedes-Benz,Vario,Vario Van,818 D,,,,,3150,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3900,3,,,,,,,,,7490,,,,,,Disc,Disc
74488,Mercedes-Benz,Viano,Viano,2.0 CDI (109 Hp),Minibus,4750 mm,1900 mm,1875 mm,3200,,1630/ 1630,,2148,109,1600,270,0,inline,,18,Diesel fuel,turbine,3800,1600,,,,,4,5,Permanent all-wheel drive,,157 (155) km/h,8.9,"16,2 (15,2) c,",75,,,5,,,,,"6,5J x 16",205/65 R16,,2010 kg,2940 kg,Hydraulic booster,9.9,Gear-rack,Pneumatic,spring,Disc,Disc
74489,Mercedes-Benz,Viano,Viano,2.0 EL CDI (109 Hp),Minibus,5223,1901,1872,3430,,1630,1630,2148,109,1600,290,Disel,inline,4,18,Diesel fuel,turbine,3800,1600,,,,,4,6,Rear wheel drive,,160,9.6,17.6,75,,,8,,,,,,205/65R16,,2090,2940,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74490,Mercedes-Benz,Viano,Viano,2.0 L CDI (109 Hp),Minibus,4993,1901,1875,3200,,1630,1630,2148,109,1600,290,Disel,inline,4,18,Diesel fuel,turbine,3800,1600,,,,,4,,Rear wheel drive,5,158,9.5,17.3,75,,,8,,,,,,205/65R16,,2095,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74491,Mercedes-Benz,Viano,Viano,2.2 CDI (150 Hp),Minibus,4750 mm,1900 mm,1875 mm,3200,,1630/ 1630,,2148,150,1800,330,0,inline,,18,Diesel fuel,turbine,3800,1800,,,,,4,5,Permanent all-wheel drive,,174 km/h,"8,6 (8,8)","13 (11,1) c,",75,,,5,,,,,"6,5J x 16",205/65 R16,,2010 kg,2940 kg,Hydraulic booster,9.9,Gear-rack,Pneumatic,spring,Disc,Disc
74492,Mercedes-Benz,Viano,Viano,2.2 EL CDI (150 Hp),Minibus,5223,1901,1872,3430,,1630,1630,2148,150,1800,330,Disel,inline,4,18,Diesel fuel,turbine,3800,1800,,,,,4,6,Rear wheel drive,,180,9.6,14.9,75,,,8,,,,,,205/65R16,,2090,2940,Hydraulic booster,,,,"Independent, spring",Disc,Disc
74493,Mercedes-Benz,Viano,Viano,2.2 L CDI (150 Hp),Minibus,4993,1901,1875,3200,,1630,1630,2148,150,1800,330,Disel,inline,4,18,Diesel fuel,turbine,3800,1800,,,,,4,,Rear wheel drive,5,179,9.5,13,75,,,8,,,,,,205/65R16,,2095,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74494,Mercedes-Benz,Viano,Viano,3.0 CDI (204 Hp),Minibus,4748,1901,1875,3200,,1630,1630,2987,204,1800,440,Disel,V-type,6,18,Diesel fuel,turbine,3800,1800,,,,,4,,Rear wheel drive,5,198,9.7,9.2,75,,,8,,,,,,205/65R16,,2040,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74495,Mercedes-Benz,Viano,Viano,3.0 EL CDI (204 Hp),Minibus,5223,1901,1872,3430,,1630,1630,2987,204,1800,440,Disel,V-type,6,18,Diesel fuel,turbine,3800,1800,,,,,4,,Rear wheel drive,5,198,9.7,9.2,75,,,8,,,,,,205/65R16,,2090,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74496,Mercedes-Benz,Viano,Viano,3.0 i V6 18V (190 Hp),Minibus,4750 mm,1900 mm,1875 mm,3200,,1630/ 1630,,3199,190,2750,270,0,V-type,,10,95 RON,-,5600,2750,,,,,3,5,Permanent all-wheel drive,,181 km/h,12.5,"9,6 c,",75,,,5,,,,,"6,5J x 16",205/65 R16,,2030 kg,2940 kg,Hydraulic booster,9.9,Gear-rack,Pneumatic,spring,Disc,Disc
74497,Mercedes-Benz,Viano,Viano,3.0 i V6 18V (218 Hp),Minibus,4750 mm,1900 mm,1875 mm,3200,,1630/ 1630,,3199,218,2800,305,0,V-type,,10,95 RON,-,5500,2800,,,,,3,5,Permanent all-wheel drive,,191 km/h,12.5,"8,2 c,",75,,,5,,,,,"6,5J x 16",205/65 R16,,2030 kg,2940 kg,Hydraulic booster,9.9,Gear-rack,Pneumatic,spring,Disc,Disc
74498,Mercedes-Benz,Viano,Viano,3.0 i V6 18V EL (190 Hp),Minibus,5223,1901,1872,3430,,1630,1630,3199,190,2750,270,Gasoline,V-type,6,10,,,5600,2750,,,,,3,,Rear wheel drive,5,181,13.5,12.5,75,,,8,,,,,,205/65R16,,2110,2940,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74499,Mercedes-Benz,Viano,Viano,3.0 i V6 18V L (190 Hp),,,,,,,,,3199,190,2750,270,Gasoline,V-type,6,10,,,5600,2750,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
74500,Mercedes-Benz,Viano,Viano,3.0 L CDI (204 Hp),Minibus,4993,1901,1875,3200,,1630,1630,2987,204,1800,440,Disel,V-type,6,18,Diesel fuel,turbine,3800,1800,,,,,4,,Rear wheel drive,5,198,9.7,9.2,75,,,8,,,,,,205/65R16,,2095,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74501,Mercedes-Benz,Viano,Viano,3.2 V6 (218 Hp),Minibus,5223,1901,1872,3430,,1630,1630,3199,218,2750,305,Gasoline,V-type,6,,95 RON,,5600,2750,,,,,3,,Four wheel drive (4WD),5,199,14,10,75,,,8,,,,,,225/60 R16,,2110,2940,Hydraulic booster,,,"Independent, spring","Independent, spring",ventilated disc,Disc
74502,Mercedes-Benz,Viano,Viano,3.5 i V6 18V (231 Hp),Minibus,4748,1901,1875,3200,,1630,1630,3724,231,2500,345,Gasoline,V-type,6,10,,,5600,2500,,,,,3,,Rear wheel drive,5,199,14,10,75,,,8,,,,,,225/55R17,,2085,2770,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74503,Mercedes-Benz,Viano,Viano,3.5 i V6 18V EL (231 Hp),Minibus,5223,1901,1872,3430,,1630,1630,3724,231,2500,345,Gasoline,V-type,6,10,,,5600,2500,,,,,3,,Rear wheel drive,5,199,14,10,75,,,8,,,,,,225/55R17,,2135,2940,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74504,Mercedes-Benz,Viano,Viano,3.5 i V6 18V L (231 Hp),Minibus,4993,1901,1875,3200,,1630,1630,3724,231,2500,345,Gasoline,V-type,6,10,,,5600,2500,,,,,3,,Rear wheel drive,5,199,14,10,75,,,8,,,,,,225/55R17,,2110,2940,Hydraulic booster,,,"Independent, spring","Independent, spring",Disc,Disc
74385,Mercedes-Benz,Vito,Vito Bus,108 CDI,Minibus,4748,1901,1902,3200,,,,,,,,,,,,,,,,,,,,,5,Rear wheel drive,,,,,,,,9,,,,,195/70 R15,,,,,Hydraulic booster,,Gear-rack,"Independent, spring","Independent, spring",ventilated disc,Disc
74386,Mercedes-Benz,Vito,Vito Bus,109 CDI,Minibus,4748,1901,1902,3200,,,,2148,88,1600,220,Disel,inline,4,,Diesel fuel,,3800,1600,,,OM 646 DELA,,4,6,Rear wheel drive,,146,9.6,19.4,75,,1150,9,,,,,,205/65R16C,,1850,3000,,11.8,,"Independent, spring","Independent, spring",ventilated disc,Disc
74387,Mercedes-Benz,Vito,Vito Bus,111 CDI,Minibus,4748,1901,1902,3200,,,,2148,88,1600,220,Disel,inline,4,,Diesel fuel,,3800,1600,,,OM 646 DELA,,4,6,Rear wheel drive,,157,8.9,16.2,75,,1150,9,,,,,,205/65R16C,,1850,3000,,11.8,,,,,
74388,Mercedes-Benz,Vito,Vito Bus,112 CDI,Minibus,4748,1901,1902,3200,,,,2151,122,1800,300,Disel,inline,4,,Diesel fuel,turbine,3800,1800,,,,,4,5,Rear wheel drive,4,164,,,78,,,9,,,,,195/70 R15,,,1700,2700,Hydraulic booster,,Gear-rack,"Independent, spring","Independent, spring",ventilated disc,Disc
74389,Mercedes-Benz,Vito,Vito Bus,113 CDI,Minibus,4763,1901,1875,3200,,,,2143,136,2600,310,Disel,inline,4,,Diesel fuel,turbine,3800,2600,,,,,,6,Rear wheel drive,5,,7.3,,,,,9,,,,,,,,,3050,,,,,,,
74390,Mercedes-Benz,Vito,Vito Bus,113 CDI 4Matic,Minibus,4763,1901,1875,3200,,,,2143,136,2600,310,Disel,inline,4,,Diesel fuel,turbine,3800,2600,,,,,,,Permanent all-wheel drive,5,,8.7,,,,,9,,,,,,,,,3050,,,,,,,
74391,Mercedes-Benz,Vito,Vito Bus,115 CDI,Minibus,4748,1901,1902,320,,,,2148,150,1800,330,Disel,inline,4,18,Diesel fuel,turbine,3800,1800,,,,,4,6,Rear wheel drive,,176,8.6,12.1,75,,1150,9,,,,,,205/65R16C,,1850,3000,,11.8,,,,Disc,ventilated disc
74392,Mercedes-Benz,Vito,Vito Bus,115 CDI 4Matic,Minibus,4763,1901,1875,3200,,,,2148,150,1800,330,0,inline,,18,Diesel fuel,turbine,3800,1800,,,,,4,,Permanent all-wheel drive,5,,10.2,,,,850,9,,,,,,,,,3050,,12.5,,"Independent, spring","Independent, MacPherson type on the lower triangular levers",ventilated disc,Disc
74393,Mercedes-Benz,Vito,Vito Bus,119,Minibus,,,,,,,,3199,190,2750-4750,270,,V-type,6,,95 RON,,5600,2750-4750,,,M 112 E32,,3,,Rear wheel drive,5,183,12.5,8.5,75,,1150,9,,,,,,205/65R16C,,1850,3000,,11.8,,,,ventilated disc,Disc
74394,Mercedes-Benz,Vito,Vito Bus,120 CDI,Minibus,4993,1901,1875,3200,,,,2987,204,2400,440,Disel,V-type,6,,Diesel fuel,turbine,3800,2400,,,Vito 120CDI,,4,6,Rear wheel drive,,176,9.2,12.1,75,,1150,9,,,,,,205/65R16C,,1850,3000,Hydraulic booster,11.8,,Coil spring,"Independent, MacPherson type on the lower triangular levers",ventilated disc,Disc
74395,Mercedes-Benz,Vito,Vito Bus,122,Minibus,4993,1901,1903,,,,,3199,218,2800-4750,305,,V-type,6,,95 RON,,5600,2800-4750,,,M 112 E37,,3,,Rear wheel drive,4,194,12.5,7.3,75,,1150,9,,,,,,225/60R16C,,1850,3000,,11.8,,Coil spring,"Independent, spring",ventilated disc,Disc
74396,Mercedes-Benz,Vito,Vito Bus,2.0 (130 Hp),Minibus,4748,1901,1902,3200,,,,1998,130,,,Gasoline,inline,4,,92 RON,,,,,,"M 111,948",,4,,Rear wheel drive,,,,,,,,,,,,,,,,,,Hydraulic booster,,Gear-rack,"Independent, spring","Independent, spring",ventilated disc,Disc
74397,Mercedes-Benz,Vito,Vito Van,108 CDI,Delivery vans,4848,1901,1902,3200,,,,2299,82,,,Disel,,4,,Diesel fuel,,,,,,,,,,Rear wheel drive,,,,,,,,,,,,,,,,,,Hydraulic booster,,Gear-rack,"Independent, spring","Independent, spring",ventilated disc,Disc
74398,Mercedes-Benz,Vito,Vito Van,109 CDI,Delivery vans,,,,,,,,2148,88,1600,220,Disel,inline,4,,Diesel fuel,,3800,1600,,,OM 646 DELA,,4,6,,,146,9.6,19.4,75,,1150,,,,,4.65,,205/65R16C,,1850,3000,,,,,,,
74399,Mercedes-Benz,Vito,Vito Van,111 CDI,Delivery vans,,,,,,,,2148,88,1600,220,Disel,inline,4,,Diesel fuel,,3800,1600,,,OM 646 DELA,,4,,,5,146,9.6,19.4,75,,1150,,,,,5.19,,205/65R16C,,1850,3000,,11.8,,,,,
74400,Mercedes-Benz,Vito,Vito Van,113 CDI,Delivery vans,4763,1901,1902,3200,,,,2143,136,2600,310,Disel,inline,4,,Diesel fuel,turbine,3800,2600,,,,,,6,Rear wheel drive,5,,8.7,,,,,3,,,,,,195/65 R16,,,2800,,,,,,,
74401,Mercedes-Benz,Vito,Vito Van,113 CDI 4Matic,Delivery vans,4763,1901,1902,3200,,,,2143,136,2600,310,Disel,inline,4,,Diesel fuel,turbine,3800,2600,,,,,,,Permanent all-wheel drive,5,,8.7,,,,,3,,,,,,,,,2800,,,,,,,
74402,Mercedes-Benz,Vito,Vito Van,115 CDI,Delivery vans,,,,,,,,2148,150,1800,330,Disel,inline,4,18,Diesel fuel,turbine,3800,1800,,,,,4,,,5,176,8.6,12.1,75,,1150,,,,,5.68,,205/65R16C,,1850,3000,,11.8,,,,,
74403,Mercedes-Benz,Vito,Vito Van,119,Delivery vans,,,,,,,,3199,190,2750-4750,270,,V-type,6,,95 RON,,5600,2750-4750,,,M 112 E32,,3,,,5,183,12.5,8.5,75,,1150,,,,,5.19,,205/65R16C,,1850,3000,,,,,,,
74404,Mercedes-Benz,Vito,Vito Van,122,Delivery vans,,,,,,,,3199,218,2800-4750,305,,V-type,6,,95 RON,,5600,2800-4750,,,M 112 E37,,3,,,5,194,12.5,7.3,75,,1150,,,,,5.68,,225/60R16C,,1850,3000,,11.8,,,,,
74405,Mercedes-Benz,Vito,Vito Van,2.0 (130 Hp),Minibus,4848,1901,1902,3200,,,,1998,130,,,Gasoline,inline,4,,92 RON,,,,,,"M 111,948",,4,,Rear wheel drive,,,,,,,,,,,,,,,,,,Hydraulic booster,,Gear-rack,"Independent, spring","Independent, spring",ventilated disc,Disc
75864,YueJin,1020,NJ 1020DF,2.0 D (63Hp),Chassis,5030,1960,2110,2600,,1503,1420,2088,63,,,,inline,4,,Diesel fuel,,,,,,YZ485ZLQ,EURO I,,,Rear wheel drive,,105,,,55,,935,2,3360,1810,,,,195/70R15C,,1440,2375,,14,,Spring,Spring,drum,drum
75863,YueJin,1041,NJ 1041DBZ,3.3TD (95Hp),,5960,1960,2200,3380,180,,,3298,95,,245,Disel,inline,4,,Diesel fuel,With intercooling,,,,,4100QBZL Q,,,,,,95,,,160,,1400,,4210,1810,,,,,,2100,3500,,,,,,,
75862,YueJin,1041,NJ 1041DBZW,3.3 TD (95 Hp),Chassis,5960,1960,2200,3380,,1440,1420,3298,95,,245,Disel,inline,4,,Diesel fuel,With intercooling,,,,,4100QBZL Q,,,,Rear wheel drive,,95,,,70,,1400,2,3210,1810,,,,175 R16C,,2100,3500,,,,Spring,Spring,drum,drum
75860,YueJin,1080,NJ1080,NJ1080DA,Chassis,7830,2490,2300,4370,,1785,1530,4087,120,1600,350,Disel,inline,4,17.5,Diesel fuel,,2800,1600,,,YZ4105ZLQ,,,,,,,13,,120,,5000,3,,,,,,"8,25 - 16",,,8380,Hydraulic booster,19,Screw - ball nut,"Dependent, on two longitudinal semi-elliptic leaf springs with hydraulic, telescopic shock absorbers",Spring,,
75861,YueJin,1080,NJ1080,NJ1080DAW,Chassis,7830,2490,2300,4370,,1785,1530,3856,120,1400-1800,345,Disel,inline,4,17.5,Diesel fuel,,2800,1400-1800,,,CY4102BZLQ,,,,,,,13,,120,,5000,3,,,,,,"8,25 - 16",,,8430,Hydraulic booster,19,Screw - ball nut,"Dependent, on two longitudinal semi-elliptic leaf springs with hydraulic, telescopic shock absorbers",Spring,,
108296,ZAZ,Lanos-Wagon,Lanos-van,"1,5i (86 Hp)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74821,ZAZ,Tavria,110557,1.2 (62Hp),Pickup,3823,1554,1800,2320,156,1314,1306,1197,62,5300,95,Gasoline,inline,4,,92 RON,,,5300,,,,EURO II,2,5,Front wheel drive,,132,7.1,20.3,38,,,2,,,,,,,,760,1190,,11.4,,,,Disc,drum
74822,ZAZ,Tavria,1306,1306,Department van,,,,,,,,1197,62,5300,95,Gasoline,inline,4,,92 RON,,,5300,,,,EURO II,2,,Front wheel drive,,,,,,,,2,,,,,,,,,,,,,,,,
174003,Zuk,A06,A06,2.12l (70Hp),,4340,1820,2100,2700,,,,2120,70,2500,147,Gasoline,inline,4,,80 RON,,4000,2500,,,,,2,,,,,,,55,,975,,,,,,,,,,,,,,Spring,"Independent, spring",,
