id_trim,Make,Model,Serie,Trim,Engine model,Potencia [cm3],Engine power [bhp],Torque [Nm],Engine type,Number of cylinders,Fuel,Engine power at rpm [min-1],Torque at rpm [min-1],Arrangement of cylinders,Environmental standard,Pressurization,Compression ratio,If the rpm with rpm [min-1],Transmission type,Amount of gear,Model transmission,Wheel arrangement,Drive wheels,Fuel tank capacity [litre],Diam`etre de braquage [m],"Angle me to ove. lift, not less [%]",Maximum speed [km/h],Fuel consumption [l/100 km],Gross vehicle weight [kg],Total train weight [kg],Full trailer weight [kg],Tyre dimension,Load on fifth wheel [kg],The load on the front axle [kg],The load on the rear axle (trolley) [kg],"Rims, the dimension",Curb vehicle weight [kg],Cab type,Length of the tractor [mm],Tractor width [mm],Wheelbase [mm],Height of the tractor [mm],Ground clearance [mm],Front track [mm],Rear track [mm],Front brake,Rear brake,Type rear suspension,Type front suspension
76850,MAZ,6422,64229,64229-027,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,8,YAMZ-238A,,6x4,500,,,90,,24000,42000,,"12,00R20",,6000,18000,,9350,3-bedded without sleeping,6540,2500,2900+1400,3550,,,,drum,drum,Spring-balance,Spring
76851,MAZ,6422,64229,64229-032,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,8,YAMZ-238A,,6x4,500,,,90,,24000,42000,,"12,00R20",,6000,18000,,9350,3-bedded without sleeping,6540,2500,2900+1400,3550,,,,drum,drum,Spring-balance,Spring-balance
76852,MAZ,6422,64229,64229-039,YAMZ-238D,14860,330,1225,Disel,8,Diesel fuel,2100,1200-1400,V-type,EURO I,turbine,"15,2",,Manual,8,YAMZ-238A,,6x4,350,,,90,,24000,42000,,"11,00R20",,6000,18000,,9350,3-bedded without sleeping,6540,2500,2900+1400,3550,,,,drum,drum,Spring-balance,Spring-balance
76849,MAZ,6422,642290,642290-2120,YAMZ-238DE2,14860,330,1225,Disel,8,Diesel fuel,2100,1100-1300,V-type,EURO II,turbine,,,Manual,8,YAMZ-238m,6x4,,,,,100,"33,8",24500,44000,,,14700,6500,18000,"11,0R20",9500,,,,,,,,,,,Spring,Spring
76874,MAZ,64220,642205,642205-220,YAMZ-238DE2,14860,330,1225,Disel,8,Diesel fuel,2100,1100-1300,V-type,EURO II,turbine,,,,8,YAMZ-238m,,6x4,"350, 500",,,100,,24500,44000,,"11,00R20",,6500,18000,,9500,3-berth with 1 sleeping,8040,2700,4200,3460,1400,,,,,Spring,Spring
76875,MAZ,64220,642205,642205-222,YAMZ-238DE2,14860,330,1225,Disel,8,Diesel fuel,2100,1100-1300,V-type,EURO II,turbine,,,,8,YAMZ-238m,,6x4,350,,,95,,24500,44000,,"12,00R20",,6500,18000,,9800,3-berth with 1 sleeping,8040,2700,4200,3460,1400,,,,,Spring,Spring
76870,MAZ,64220,642208,642208-020,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,,9,YAMZ-239,,6x4,500,,,100,,24500,44000,,"11,00R20",,6500,18000,,9600,3-berth with 1 sleeping,8040,2700,2900+1400,3400,,,,,,Spring-balance,Spring-balance
76871,MAZ,64220,642208,642208-022,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,,9,YAMZ-239,,6x4,500,,,100,,24500,44000,,"11,00R20",,6500,18000,,9600,3-berth with 1 sleeping,8040,2700,2900+1400,3400,,,,,,Spring-balance,Spring-balance
76872,MAZ,64220,642208,642208-230,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,,9,YAMZ-239,,6x4,500,,,100,,24500,52000,,"11,00R20",,6500,18000,,9600,3-berth with 1 sleeping,8040,2700,2900+1400,3400,,,,,,Spring,Spring
76873,MAZ,64220,642208,642208-232,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,,9,YAMZ-239,,6x4,500,,,100,,24500,44000,,"12,00R20",,6500,18000,,9900,3-berth with 1 sleeping,6600,2500,2900+1400,3400,,,,,,Spring,Spring
76898,MAZ,6425,6425,6425,TMZ-8424,17240,425,1325,Disel,8,Diesel fuel,,,V-type,EURO I,turbine,,,Manual,9,YAMZ-202,,6x6,"200, 350","10,1",,85,,25150,44000,,,,7150,18000,,13000,3-bedded without sleeping,8040,2700,,3460,,,,,,Spring-balance,Spring-balance
76897,MAZ,6425,642515,642515,"TMZ-8421,10",17240,360,1510,Disel,8,Diesel fuel,,,V-type,,,"15,5",,Manual,9,YAMZ-202,,6x6,350,,,65,45,28700,66700,,"12,00R20",17000,6700,22000,,11550,,,,,,,,,,,Spring-balance,Spring-balance
76862,MAZ,6430,643008,643008-060-010,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,Manual,9,ZF 16S1650,,6x4,500,,,100,,26150,44000,,"315/80R22,5",,7150,15800,,10200,2-seater with 2 sleeping,6900,2500,3200+1400,4000,,,,,,Spring,Spring
76863,MAZ,6430,643008,643008-060-020,"YAMZ-7511,10",,400,1715,Disel,8,Diesel fuel,1900,1100-1300,V-type,EURO II,turbine,,,Manual,9,ZF 16S1650,,6x4,500,,,100,,26000,44000,,"315/80R22,5",,7000,15600,,10250,2-seater with 2 sleeping,6900,2500,3200+1400,4000,,,,,,Spring,Spring
219054,MAZ,6430,643019,643019-1420-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76861,MAZ,6430,643021,643021,MAN D2876 L02 P6 TDI,12820,460,2000,Disel,,Diesel fuel,2000,1100-1400,,EURO II,,,,,16,ZF 16S-221,,6x4,500,,,121,30,29000,65000,,"295/80R22,5",,,,,9800,,6850,2500,3100+1400,3500,260,,,,,Pneumatic,Spring
76860,MAZ,6430,643026,643026,MAN D2866 LF20,,400,1730,,,,,,,EURO II,,,,,16,ZF 16S151,,6x6,500,,,123,33,26000,44000,,"295/80 R22,5",15800,7000,19000,,9750,3-berth with 1 sleeping,6850,2500,3100+1400,4000,,,,,,Resorna,Spring
76858,MAZ,6430,6430A8,6430A8,"YAMZ-6581,10",14860,400,1766,Disel,8,Diesel fuel,1900,1100,V-type,EURO III,turbine,"17,5",,Manual,16,ZF 16S1650,6x4,,500,,,100,,26100,52000,,"315/80 R22,5",15900,7100,19000,,10050,2-seater with 2 sleeping,,,,,,,,,,,
76859,MAZ,6430,6430A9,6430A9-1320-020,"YAMZ-650,10",,412,,Disel,,,,,,EURO III,,,,Manual,16,ZF-16S151,6x4,,500,,,100,,25950,52000,,"295/80 R22,5",15750,6950,19000,,9850,2-seater with 2 sleeping,,,,,,,,,,Pneumatic,Spring
219391,MAZ,6430,6430B7,6430B7-1420-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219390,MAZ,6430,6430B9,6430B9-1420-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
